city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Qadisiyah,South,370,2020,4,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000
Riyadh,Al-Qadisiyah,South,380,2020,4,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000
Riyadh,Al-Maizalah,West,250,2020,5,5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
Riyadh,Al-Ulyah,West,400,2010,7,5,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000
Riyadh,Al-Izzah,East,250,1996,5,4,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000
Riyadh,Al-Mahdiah,North,250,2020,5,5,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Hazm,Southeast,288,2015,5,5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000
Riyadh,Al-Ulyah,Southwest,250,2020,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000
Riyadh,Al-Ardeh,North,290,2020,3,5,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000
Riyadh,Al-Sihafa,East,400,2020,5,4,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000
Riyadh,Banban,North,840,2020,5,5,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000
Riyadh,Al-Ardeh,South,440,2020,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Nasim Al-Gharbi),East,500,2020,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000
Riyadh,Al-Izzah,East,900,2001,7,5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000
Riyadh,Al-Narjis,Northwest,377,2020,7,5,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000
Riyadh,Al-Malz,Southwest,750,1993,7,5,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Yasmeen,South,339,2012,4,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000
Riyadh,Al-Munsiyah,South,350,2020,3,3,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000
Riyadh,Al-Sulaymaniyah,North,200,2011,4,5,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000
Riyadh,Al-Ardeh,East,220,2020,4,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Aqiq,East,900,2001,5,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000
Riyadh,Al-Munsiyah,Northwest,290,2020,7,5,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Maraslat,West,400,2003,5,5,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000
Riyadh,Al-Aqiq,West,375,2008,5,5,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000
Riyadh,Al-Munsiyah,East,200,2016,7,5,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000
Riyadh,Al-Rahmaniyah,North,450,2009,7,5,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000
Riyadh,Ar-Ramal,West,360,2020,4,4,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000
Riyadh,Al-Qadisiyah,West,250,2020,5,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000
Riyadh,Al-Narjis,East,270,2020,4,5,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000
Riyadh,Ar-Ramal,Northwest,350,2020,4,4,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000
